data;Taxa (% a.d);
18/10/2018;0.017534247;
19/10/2018;0.017534247;
22/10/2018;0.017534247;
23/10/2018;0.017534247;
24/10/2018;0.017534247;
25/10/2018;0.017534247;
26/10/2018;0.017534247;
29/10/2018;0.017534247;
30/10/2018;0.017534247;
31/10/2018;0.017534247;
01/11/2018;0.017534247;
05/11/2018;0.017534247;
06/11/2018;0.017534247;
07/11/2018;0.017534247;
08/11/2018;0.017534247;
09/11/2018;0.017534247;
12/11/2018;0.017534247;
13/11/2018;0.017534247;
14/11/2018;0.017534247;
16/11/2018;0.017534247;
19/11/2018;0.017534247;
21/11/2018;0.017534247;
22/11/2018;0.017534247;
23/11/2018;0.017534247;
26/11/2018;0.017534247;
27/11/2018;0.017534247;
28/11/2018;0.017534247;
29/11/2018;0.017534247;
30/11/2018;0.017534247;
03/12/2018;0.017534247;
04/12/2018;0.017534247;
05/12/2018;0.017534247;
06/12/2018;0.017534247;
07/12/2018;0.017534247;
10/12/2018;0.017534247;
11/12/2018;0.017534247;
12/12/2018;0.017534247;
13/12/2018;0.017534247;
14/12/2018;0.017534247;
17/12/2018;0.017534247;
18/12/2018;0.017534247;
19/12/2018;0.017534247;
20/12/2018;0.017534247;
21/12/2018;0.017534247;
26/12/2018;0.017534247;
27/12/2018;0.017534247;
28/12/2018;0.017534247;
02/01/2019;0.017534247;
03/01/2019;0.017534247;
04/01/2019;0.017534247;
07/01/2019;0.017534247;
08/01/2019;0.017534247;
09/01/2019;0.017534247;
10/01/2019;0.017534247;
11/01/2019;0.017534247;
14/01/2019;0.017534247;
15/01/2019;0.017534247;
16/01/2019;0.017534247;
17/01/2019;0.017534247;
18/01/2019;0.017534247;
21/01/2019;0.017534247;
22/01/2019;0.017534247;
23/01/2019;0.017534247;
24/01/2019;0.017534247;
28/01/2019;0.017534247;
29/01/2019;0.017534247;
30/01/2019;0.017534247;
31/01/2019;0.017534247;
01/02/2019;0.017534247;
04/02/2019;0.017534247;
05/02/2019;0.017534247;
06/02/2019;0.017534247;
07/02/2019;0.017534247;
08/02/2019;0.017534247;
11/02/2019;0.017534247;
12/02/2019;0.017534247;
13/02/2019;0.017534247;
14/02/2019;0.017534247;
15/02/2019;0.017534247;
18/02/2019;0.017534247;
19/02/2019;0.017534247;
20/02/2019;0.017534247;
21/02/2019;0.017534247;
22/02/2019;0.017534247;
25/02/2019;0.017534247;
26/02/2019;0.017534247;
27/02/2019;0.017534247;
28/02/2019;0.017534247;
01/03/2019;0.017534247;
06/03/2019;0.017534247;
07/03/2019;0.017534247;
08/03/2019;0.017534247;
11/03/2019;0.017534247;
12/03/2019;0.017534247;
13/03/2019;0.017534247;
14/03/2019;0.017534247;
15/03/2019;0.017534247;
18/03/2019;0.017534247;
19/03/2019;0.017534247;
20/03/2019;0.017534247;
21/03/2019;0.017534247;
22/03/2019;0.017534247;
25/03/2019;0.017534247;
26/03/2019;0.017534247;
27/03/2019;0.017534247;
28/03/2019;0.017534247;
